"supplementary_data_2._taxonomic_information_of_the_313_microbial_species_found_to_be_present_across_4,347_stool_metagenomes.",unnamed:_1,unnamed:_2
Phylum,Family,Species
Firmicutes,Aerococcaceae,Abiotrophia defectiva
Firmicutes,Acidaminococcaceae,Acidaminococcus fermentans
Firmicutes,Acidaminococcaceae,Acidaminococcus intestini
Actinobacteria,Actinomycetaceae,Actinomyces graevenitzii
Actinobacteria,Actinomycetaceae,Actinomyces odontolyticus
Actinobacteria,Actinomycetaceae,Actinomyces oris
Actinobacteria,Actinomycetaceae,Actinomyces turicensis
Actinobacteria,Actinomycetaceae,Actinomyces viscosus
Actinobacteria,Coriobacteriaceae,Adlercreutzia equolifaciens
Proteobacteria,Pasteurellaceae,Aggregatibacter segnis
Verrucomicrobia,Verrucomicrobiaceae,Akkermansia muciniphila
Bacteroidetes,Rikenellaceae,Alistipes finegoldii
Bacteroidetes,Rikenellaceae,Alistipes indistinctus
Bacteroidetes,Rikenellaceae,Alistipes onderdonkii
Bacteroidetes,Rikenellaceae,Alistipes putredinis
Bacteroidetes,Rikenellaceae,Alistipes senegalensis
Bacteroidetes,Rikenellaceae,Alistipes shahii
Bacteroidetes,Rikenellaceae,Alistipes sp. AP11
Bacteroidetes,Rikenellaceae,Alistipes sp. HGB5
Actinobacteria,Bifidobacteriaceae,Alloscardovia omnicolens
Firmicutes,Clostridiales Family XI Incertae Sedis,Anaerococcus obesiensis
Firmicutes,Clostridiales Family XI Incertae Sedis,Anaerococcus vaginalis
Firmicutes,Eubacteriaceae,Anaerofustis stercorihominis
Firmicutes,Veillonellaceae,Anaeroglobus geminatus
Firmicutes,Lachnospiraceae,Anaerostipes caccae
Firmicutes,Lachnospiraceae,Anaerostipes hadrus
Firmicutes,Ruminococcaceae,Anaerotruncus colihominis
Actinobacteria,Coriobacteriaceae,Atopobium parvulum
Actinobacteria,Coriobacteriaceae,Atopobium rimae
Actinobacteria,Coriobacteriaceae,Atopobium vaginae
Bacteroidetes,Bacteroidales ,Bacteroidales bacterium-ph8
Bacteroidetes,Bacteroidaceae,Bacteroides caccae
Bacteroidetes,Bacteroidaceae,Bacteroides cellulosilyticus
Bacteroidetes,Bacteroidaceae,Bacteroides clarus
Bacteroidetes,Bacteroidaceae,Bacteroides coprocola
Bacteroidetes,Bacteroidaceae,Bacteroides coprophilus
Bacteroidetes,Bacteroidaceae,Bacteroides dorei
Bacteroidetes,Bacteroidaceae,Bacteroides eggerthii
Bacteroidetes,Bacteroidaceae,Bacteroides faecis
Bacteroidetes,Bacteroidaceae,Bacteroides finegoldii
Bacteroidetes,Bacteroidaceae,Bacteroides fragilis
Bacteroidetes,Bacteroidaceae,Bacteroides intestinalis
Bacteroidetes,Bacteroidaceae,Bacteroides massiliensis
Bacteroidetes,Bacteroidaceae,Bacteroides nordii
Bacteroidetes,Bacteroidaceae,Bacteroides oleiciplenus
Bacteroidetes,Bacteroidaceae,Bacteroides ovatus
Firmicutes,Clostridiales ,Bacteroides pectinophilus
Bacteroidetes,Bacteroidaceae,Bacteroides plebeius
Bacteroidetes,Bacteroidaceae,Bacteroides salyersiae
Bacteroidetes,Bacteroidaceae,Bacteroides sp. 2-1-22
Bacteroidetes,Bacteroidaceae,Bacteroides sp. 3-1-19
Bacteroidetes,Bacteroidaceae,Bacteroides sp. 4-3-47FAA
Bacteroidetes,Bacteroidaceae,Bacteroides stercoris
Bacteroidetes,Bacteroidaceae,Bacteroides thetaiotaomicron
Bacteroidetes,Bacteroidaceae,Bacteroides uniformis
Bacteroidetes,Bacteroidaceae,Bacteroides vulgatus
Bacteroidetes,Bacteroidaceae,Bacteroides xylanisolvens
Bacteroidetes,Porphyromonadaceae,Barnesiella intestinihominis
Actinobacteria,Bifidobacteriaceae,Bifidobacterium-adolescentis
