sample_id	health_status
SRS1128334	Healthy
SRS1128335	Healthy
SRS1128336	Healthy
SRS1128337	Healthy
SRS1128338	Healthy
SRS1128339	Healthy
SRS1128340	Healthy
SRS1128341	Healthy
SRS1128342	Healthy
SRS1128351	Healthy
SRS1128352	Healthy
SRS1128353	Healthy
SRS1128354	Healthy
SRS1128355	Healthy
SRS1128356	Healthy
SRS1128357	Healthy
SRS1128358	Healthy
SRS1128359	Healthy
SRS1128360	Healthy
SRS1128361	Healthy
SRS1128362	Healthy
SRS1128363	Healthy
SRS1128364	Healthy
SRS1128365	Healthy
SRS1128366	Healthy
SRS1128367	Healthy
SRS1128368	Healthy
SRS1128369	Healthy
SRS1128370	Healthy
SRS1128371	Healthy
SRS1128372	Healthy
SRS1128373	Healthy
SRS1128374	Healthy
SRS1128375	Healthy
SRS1128376	Healthy
SRS1128377	Healthy
SRS1128378	Healthy
SRS1128379	Healthy
SRS1128380	Healthy
SRS1128381	Healthy
SRS1128382	Healthy
SRS1128383	Healthy
SRS1128384	Healthy
SRS1128385	Healthy
SRS1128386	Healthy
SRS1128387	Healthy
SRS1128388	Healthy
SRS1128389	Healthy
SRS1128390	Healthy
SRS1128391	Healthy
SRS1128392	Healthy
SRS1128394	Healthy
SRS1128396	Healthy
SRS1128397	Healthy
SRS1128398	Healthy
SRS1128399	Healthy
SRS1128400	Healthy
SRS1128401	Healthy
SRS1128402	Healthy
SRS1128403	Healthy
SRS1128404	Healthy
SRS1128405	Healthy
SRS1128406	Healthy
SRS1128407	Healthy
SRS1128408	Healthy
SRS1128409	Healthy
SRS1128410	Healthy
SRS1128411	Healthy
SRS1128412	Healthy
SRS1128413	Healthy
SRS1128414	Healthy
SRS1128415	Healthy
SRS1128416	Healthy
SRS1128417	Healthy
SRS1128418	Healthy
SRS1128419	Healthy
SRS1128420	Healthy
SRS1128422	Healthy
SRS1128423	Healthy
SRS1128424	Healthy
SRS1128425	Healthy
SRS1128426	Healthy
SRS1128427	Healthy
SRS1128428	Healthy
SRS1128429	Healthy
SRS1128430	Healthy
SRS1128431	Healthy
SRS1128432	Healthy
SRS1128433	Healthy
SRS1128434	Healthy
SRS1128435	Healthy
SRS1128436	Healthy
SRS1128437	Healthy
SRS1128438	Healthy
SRS1128439	Healthy
SRS1128440	Healthy
SRS1128441	Healthy
SRS1128442	Healthy
SRS1128443	Healthy
SRS1128444	Healthy
SRS1128445	Healthy
SRS1128446	Healthy
SRS1128447	Healthy
SRS1128448	Healthy
SRS1128464	Healthy
SRS1128465	Healthy
SRS1128466	Healthy
SRS1128467	Healthy
SRS1128468	Healthy
SRS1128469	Healthy
SRS1128470	Healthy
SRS1128471	Healthy
SRS1128472	Healthy
SRS1128473	Healthy
SRS1128474	Healthy
SRS1128475	Healthy
SRS1128476	Healthy
SRS1128477	Healthy
SRS1128478	Healthy
SRS1128479	Healthy
SRS1128480	Healthy
SRS1128481	Healthy
SRS1128482	Healthy
SRS1128483	Healthy
SRS1128484	Healthy
SRS1128485	Healthy
SRS1128486	Healthy
SRS1128487	Healthy
SRS1128488	Healthy
SRS1128489	Healthy
SRS1128490	Healthy
SRS1128491	Healthy
SRS1128492	Healthy
SRS1128493	Healthy
SRS1128494	Healthy
SRS1128495	Healthy
SRS1128496	Healthy
SRS1128497	Healthy
SRS1128498	Healthy
SRS1128499	Healthy
SRS1128500	Healthy
SRS1128501	Healthy
SRS1128502	Healthy
SRS1128503	Healthy
SRS1128504	Healthy
SRS1128505	Healthy
SRS1128506	Healthy
SRS1128507	Healthy
SRS1128508	Healthy
SRS1128509	Healthy
SRS1128510	Healthy
SRS1128511	Healthy
SRS1128512	Healthy
SRS1128513	Healthy
SRS1128514	Healthy
SRS1128515	Healthy
SRS1128516	Healthy
SRS1128517	Healthy
SRS1128518	Healthy
SRS1128519	Healthy
SRS1128520	Healthy
SRS1128521	Healthy
SRS1128522	Healthy
SRS1128523	Healthy
SRS1128524	Healthy
SRS1128525	Healthy
SRS1128526	Healthy
SRS1128527	Healthy
SRS1128528	Healthy
SRS1128529	Healthy
SRS1128530	Healthy
SRS1128531	Healthy
SRS1128532	Healthy
SRS1128533	Healthy
SRS1128534	Healthy
SRS1128535	Healthy
SRS1128536	Healthy
SRS1128537	Healthy
SRS1128538	Healthy
SRS1128539	Healthy
SRS1128540	Healthy
SRS1128541	Healthy
SRS1128542	Healthy
SRS1128543	Healthy
SRS1128544	Healthy
SRS1128545	Healthy
SRS1128546	Healthy
SRS1128547	Healthy
SRS1128548	Healthy
SRS1128549	Healthy
SRS1128550	Healthy
SRS1128551	Healthy
SRS1128552	Healthy
SRS1128553	Healthy
SRS1128554	Healthy
SRS1128555	Healthy
SRS1128556	Healthy
SRS1128557	Healthy
SRS1128558	Healthy
SRS1128559	Healthy
SRS1128560	Healthy
SRS1128561	Healthy
SRS1128562	Healthy
SRS1128563	Healthy
SRS1128564	Healthy
SRS1128565	Healthy
SRS1128566	Healthy
SRS1128567	Healthy
SRS1128568	Healthy
SRS1128569	Healthy
SRS1128570	Healthy
SRS1128571	Healthy
SRS1128572	Healthy
SRS1128573	Healthy
SRS1128574	Healthy
SRS1128575	Healthy
SRS1128576	Healthy
SRS1128577	Healthy
SRS1128578	Healthy
SRS1128579	Healthy
SRS1128580	Healthy
SRS1128581	Healthy
SRS1128582	Healthy
SRS1128584	Healthy
SRS1128585	Healthy
SRS1128586	Healthy
SRS1128587	Healthy
SRS1128588	Healthy
SRS1128590	Healthy
SRS1128591	Healthy
SRS1128592	Healthy
SRS1128593	Healthy
SRS1128594	Healthy
SRS1128595	Healthy
SRS1128598	Healthy
SRS1128599	Healthy
SRS1128600	Healthy
SRS1128601	Healthy
SRS1128602	Healthy
SRS1128603	Healthy
SRS1128604	Healthy
SRS1128605	Healthy
SRS1128606	Healthy
SRS1128607	Healthy
SRS1128608	Healthy
SRS1128609	Healthy
SRS1128610	Healthy
SRS1128612	Healthy
SRS1128613	Healthy
SRS1128614	Healthy
SRS1128615	Healthy
SRS1128616	Healthy
SRS1128617	Healthy
SRS1128618	Healthy
SRS1128619	Healthy
SRS1128621	Healthy
SRS1128622	Healthy
SRS1128623	Healthy
SRS1128625	Healthy
SRS1128626	Healthy
SRS1128627	Healthy
SRS1128628	Healthy
SRS1128629	Healthy
SRS1128630	Healthy
SRS1128631	Healthy
SRS1128632	Healthy
SRS1128633	Healthy
SRS1128634	Healthy
SRS1128635	Healthy
SRS1128636	Healthy
