#SampleID	ERR868031	ERR868032	ERR868033	ERR868034	ERR868035	ERR868036	ERR868037	ERR868038	ERR868039	ERR868040	ERR868041	ERR868042	ERR868043	ERR868044	ERR868045	ERR868046	ERR868047	ERR868048	ERR868049	ERR868050	ERR868051	ERR868052	ERR868053	ERR868087	ERR868088	ERR868089	ERR868090	ERR868091	ERR868092	ERR868093	ERR868094	ERR868095	ERR868096	ERR868097	ERR868098	ERR868099	ERR868100	ERR868101	ERR868102	ERR868103	ERR868104	ERR868105	ERR868106	ERR868107	ERR868108	ERR868109	ERR868110	ERR868111	ERR868112	ERR868113	ERR868114	ERR868115
Root	1228	1171	1119	1172	1050	1218	1229	1277	1358	1329	139	1248	1350	1304	1300	1288	201	1272	1245	1300	1312	1308	261	994	941	947	998	989	991	1018	552	1091	1125	1107	1167	1026	1123	536	1129	1077	1062	1116	1067	1090	594	1074	1073	1091	1177	1115	1063	696
Root;k__Archaea;p__Crenarchaeota;c__Aigarchaeota;o__[Caldiarchales];f__[Caldiarchaceae];g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Archaea;p__Crenarchaeota;c__Korarchaeota;o__Korarchaeotales;f__Korarchaeotaceae;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Root;k__Archaea;p__Crenarchaeota;c__MBGA;o__;f__;g__;s__	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Archaea;p__Crenarchaeota;c__MBGB;o__;f__;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Archaea;p__Crenarchaeota;c__THSCG;o__;f__;g__;s__	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__;s__	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	2	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Root;k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Nitrosopumilus;s__	4	5	7	7	4	10	5	6	3	5	1	10	7	5	7	13	1	3	2	8	7	10	2	1	2	1	0	0	2	0	1	1	4	2	4	3	2	0	0	1	3	1	3	0	0	3	0	2	1	1	2	0
Root;k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Nitrosopumilus;s__pIVWA5	1	1	2	1	1	0	1	0	2	1	0	1	3	6	3	3	0	1	1	2	4	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	2	0	1	0	0	0	0	2	2	2	0	2	0
Root;k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrosocaldales;f__Nitrosocaldaceae;g__CandidatusNitrosocaldus;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
