OTU_ID	b'ERR328037'
b'107380'|b'sk__Archaea';b'k__';b'p__Euryarchaeota';b'';b'';b'';b'';b''	11.0
b'85233'|b'sk__Archaea';b'k__';b'p__Euryarchaeota';b'c__Methanobacteria';b'o__Methanobacteriales';b'f__Methanobacteriaceae';b'';b''	1.0
b'161165'|b'sk__Archaea';b'k__';b'p__Euryarchaeota';b'c__Methanomicrobia';b'';b'';b'';b''	7.0
b'49361'|b'sk__Archaea';b'k__';b'p__Euryarchaeota';b'c__Thermoplasmata';b'';b'';b'';b''	36.0
b'193817'|b'sk__Archaea';b'k__';b'p__Euryarchaeota';b'c__Thermoplasmata';b'o__Methanomassiliicoccales';b'';b'';b''	1.0
b'174221'|b'sk__Archaea';b'k__';b'p__Euryarchaeota';b'c__Thermoplasmata';b'o__Methanomassiliicoccales';b'f__Methanomassiliicoccaceae';b'';b''	5.0
b'103181'|b'sk__Bacteria';b'';b'';b'';b'';b'';b'';b''	590.0
b'219738'|b'sk__Bacteria';b'k__';b'p__Actinobacteria';b'c__Actinobacteria';b'';b'';b'';b''	2.0
b'76593'|b'sk__Bacteria';b'k__';b'p__Actinobacteria';b'c__Actinobacteria';b'o__Corynebacteriales';b'';b'';b''	1.0
b'217471'|b'sk__Bacteria';b'k__';b'p__Actinobacteria';b'c__Actinobacteria';b'o__Micrococcales';b'';b'';b''	1.0
b'196546'|b'sk__Bacteria';b'k__';b'p__Actinobacteria';b'c__Actinobacteria';b'o__Micrococcales';b'f__Dermatophilaceae';b'g__Mobilicoccus';b''	1.0
b'231776'|b'sk__Bacteria';b'k__';b'p__Actinobacteria';b'c__Actinobacteria';b'o__Micrococcales';b'f__Intrasporangiaceae';b'';b''	1.0
b'13443'|b'sk__Bacteria';b'k__';b'p__Actinobacteria';b'c__Actinobacteria';b'o__Micrococcales';b'f__Micrococcaceae';b'';b''	4.0
b'197120'|b'sk__Bacteria';b'k__';b'p__Actinobacteria';b'c__Actinobacteria';b'o__Micrococcales';b'f__Micrococcaceae';b'g__Kocuria';b''	33.0
b'164857'|b'sk__Bacteria';b'k__';b'p__Actinobacteria';b'c__Actinobacteria';b'o__Streptomycetales';b'f__Streptomycetaceae';b'g__Streptomyces';b''	1.0
b'157672'|b'sk__Bacteria';b'k__';b'p__Actinobacteria';b'c__Actinobacteria';b'o__Streptosporangiales';b'f__Streptosporangiaceae';b'';b''	1.0
b'29913'|b'sk__Bacteria';b'k__';b'p__Actinobacteria';b'c__Coriobacteriia';b'o__Coriobacteriales';b'f__Atopobiaceae';b'';b''	8.0
b'246418'|b'sk__Bacteria';b'k__';b'p__Actinobacteria';b'c__Coriobacteriia';b'o__Coriobacteriales';b'f__Atopobiaceae';b'g__Libanicoccus';b''	5.0
b'57172'|b'sk__Bacteria';b'k__';b'p__Actinobacteria';b'c__Coriobacteriia';b'o__Coriobacteriales';b'f__Coriobacteriaceae';b'';b''	7.0
b'175786'|b'sk__Bacteria';b'k__';b'p__Actinobacteria';b'c__Coriobacteriia';b'o__Coriobacteriales';b'f__Coriobacteriaceae';b'g__Collinsella';b's__Collinsella_aerofaciens'	10.0
b'117666'|b'sk__Bacteria';b'k__';b'p__Actinobacteria';b'c__Coriobacteriia';b'o__Eggerthellales';b'f__Eggerthellaceae';b'g__Enterorhabdus';b''	11.0
b'258548'|b'sk__Bacteria';b'k__';b'p__Actinobacteria';b'c__Coriobacteriia';b'o__Eggerthellales';b'f__Eggerthellaceae';b'g__Slackia';b''	1.0
b'103906'|b'sk__Bacteria';b'k__';b'p__Bacteroidetes';b'';b'';b'';b'';b''	13.0
b'232486'|b'sk__Bacteria';b'k__';b'p__Bacteroidetes';b'c__Bacteroidia';b'o__Bacteroidales';b'';b'';b''	26.0
