sample_id	biosample	health_status	body_site	collection_date	investigation_type	host_scientific_name	has_health_status	has_body_site
ERS339379	SAMEA2171439	Unknown	-18.12126	2006-01-01			False	True
ERS339380	SAMEA2171440	Unknown	-18.12126	2006-01-01			False	True
ERS339381	SAMEA2171441	Unknown	28.516666	2012-10-03			False	True
ERS339382	SAMEA2171442	Unknown	39.167	2012-08-16			False	True
ERS339383	SAMEA2171443	Unknown	28.516666	2012-10-03			False	True
ERS339384	SAMEA2171444	Unknown	-18.12126	2006-01-01			False	True
ERS339385	SAMEA2171445	Unknown	43.6	2012-01-19			False	True
ERS339386	SAMEA2171446	Unknown	32.78	2012-03-08			False	True
ERS339387	SAMEA2171447	Unknown	43.6	2012-10-05			False	True
ERS339388	SAMEA2171448	Unknown	28.516666	2012-10-03			False	True
ERS339389	SAMEA2171449	Unknown	32.78	2012-08-16			False	True
ERS339390	SAMEA2171450	Unknown	33.749	2012-01-01			False	True
ERS339391	SAMEA2171451	Unknown	-18.12126	2006-01-01			False	True
ERS339392	SAMEA2171452	Unknown	-18.12126	2006-01-01			False	True
ERS339393	SAMEA2171453	Unknown	-18.12126	2006-01-01			False	True
ERS339394	SAMEA2171454	Unknown	51.89592	2012-06-23			False	True
ERS339395	SAMEA2171455	Unknown	-18.12126	2006-01-01			False	True
ERS339396	SAMEA2171456	Unknown	28.516666	2012-10-03			False	True
ERS339397	SAMEA2171457	Unknown	32.78	2012-03-08			False	True
ERS339398	SAMEA2171458	Unknown	-18.12126	2006-01-01			False	True
ERS339399	SAMEA2171459	Unknown	-18.12126	2006-01-01			False	True
ERS339400	SAMEA2171460	Unknown	39.167	2012-08-16			False	True
ERS339401	SAMEA2171461	Unknown	33.749	2012-01-01			False	True
ERS339402	SAMEA2171462	Unknown	43.6	2012-10-05			False	True
ERS339403	SAMEA2171463	Unknown	51.5	2012-08-19			False	True
ERS339404	SAMEA2171464	Unknown	-18.12126	2006-01-01			False	True
ERS339405	SAMEA2171465	Unknown	39.167	2012-08-16			False	True
ERS339406	SAMEA2171466	Unknown	29.76019	2012-01-01			False	True
ERS339407	SAMEA2171467	Unknown	39.167	2012-08-16			False	True
ERS339408	SAMEA2171468	Unknown	-18.12126	2006-01-01			False	True
ERS339409	SAMEA2171469	Unknown	33.749	2012-01-01			False	True
ERS339410	SAMEA2171470	Unknown	43.6	2012-10-05			False	True
ERS339411	SAMEA2171471	Unknown	-18.12126	2006-01-01			False	True
ERS339412	SAMEA2171472	Unknown	51.5	2012-08-17			False	True
ERS339413	SAMEA2171473	Unknown	28.516666	2012-10-03			False	True
ERS339414	SAMEA2171474	Unknown	28.516666	2012-10-03			False	True
ERS339415	SAMEA2171475	Unknown	51.333	2012-04-07			False	True
ERS339416	SAMEA2171476	Unknown	-18.12126	2006-01-01			False	True
ERS339417	SAMEA2171477	Unknown	-18.12126	2006-01-01			False	True
ERS339418	SAMEA2171478	Unknown	-18.12126	2006-01-01			False	True
ERS339419	SAMEA2171479	Unknown	-18.12126	2006-01-01			False	True
ERS339420	SAMEA2171480	Unknown	28.516666	2012-10-03			False	True
ERS339421	SAMEA2171481	Unknown	-18.12126	2006-01-01			False	True
