sample_id	biosample	collection_date	environment_biome	environment_feature	environment_material	host_tax_id	host_scientific_name	geographic_location_(longitude)	geographic_location_(country_and/or_sea,region)	environment_(biome)	environment_(feature)	environment_(material)	altitude	depth	elevation	host_common_name	geographic_location_(latitude)	instrument_model
ERS339379	SAMEA2171439	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant anteater	-18.12126	unspecified
ERS339380	SAMEA2171440	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant anteater	-18.12126	unspecified
ERS339381	SAMEA2171441	2012-10-03	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Dasypus novemcinctus	-80.666664	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	3.0	Nine-banded armadillo	28.516666	unspecified
ERS339382	SAMEA2171442	2012-08-16	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Tolypeutes matacus	-84.5	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	482.0	Southern three-banded armadillo	39.167	unspecified
ERS339383	SAMEA2171443	2012-10-03	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Dasypus novemcinctus	-80.666664	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	3.0	Nine-banded armadillo	28.516666	unspecified
ERS339384	SAMEA2171444	2006-01-01/2006-12-31	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Priodontes maximus	-52.90845	GAZ:Brazil	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	2677.0	Giant armadillo	-18.12126	unspecified
ERS339385	SAMEA2171445	2012-01-19	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	3.883	GAZ:France	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	89.0	Giant anteater	43.6	unspecified
ERS339386	SAMEA2171446	2012-03-08	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Tamandua tetradactyla tetradactyla	-117.07	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	72.0	Southern tamandua	32.78	unspecified
ERS339387	SAMEA2171447	2012-10-05	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Myrmecophaga tridactyla	3.883	GAZ:France	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	89.0	Giant anteater	43.6	unspecified
ERS339388	SAMEA2171448	2012-10-03	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	40674	Dasypus novemcinctus	-80.666664	GAZ:United States of America	ENVO:animal-associated habitat	ENVO:animal-associated habitat	ENVO:feces	0.0	0.0	3.0	Nine-banded armadillo	28.516666	unspecified
