# Constructed from biom file
# OTU ID	ERZ778604	taxonomy
207119	3.0	sk__Archaea
33554	6.0	sk__Archaea;k__;p__Crenarchaeota
107380	2.0	sk__Archaea;k__;p__Euryarchaeota
161165	2.0	sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia
220091	1.0	sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanogenium
264803	1.0	sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales
111078	3.0	sk__Archaea;k__;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae
135792	2.0	sk__Archaea;k__;p__Euryarchaeota;c__Thermococci
49361	1.0	sk__Archaea;k__;p__Euryarchaeota;c__Thermoplasmata
103181	69.0	sk__Bacteria
83222	1.0	sk__Bacteria;k__;p__Acidobacteria
57104	7.0	sk__Bacteria;k__;p__Actinobacteria
79374	5.0	sk__Bacteria;k__;p__Actinobacteria;c__Coriobacteriia
232486	1.0	sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales
250156	1.0	sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae
188018	1.0	sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Lacinutrix;s__Lacinutrix_gracilariae
86397	2.0	sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Lutibacter
46003	2.0	sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Maribacter
17823	2.0	sk__Bacteria;k__;p__Caldiserica;c__Caldisericia;o__Caldisericales;f__Caldisericaceae;g__Caldisericum
89024	4.0	sk__Bacteria;k__;p__Candidatus_Aminicenantes
137718	1.0	sk__Bacteria;k__;p__Candidatus_Chisholmbacteria
