OTU ID,taxonomy,abundance,relative_abundance,kingdom,phylum,class,order,family,genus,species,study_id
198192,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,7.0,0.0006329113924050633,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,MGYS00001248
195221,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,105.0,0.00949367088607595,Bacteria,Firmicutes,Clostridia,Clostridiales,,,,MGYS00001248
193592,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,14.0,0.0012658227848101266,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,,MGYS00001248
206887,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__,104.0,0.009403254972875226,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,[Ruminococcus],,MGYS00001248
694616,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__,11.0,0.0009945750452079567,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,,,MGYS00001248
302049,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,2.0,0.00018083182640144665,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,,MGYS00001248
296007,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,13.0,0.0011754068716094033,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,,MGYS00001248
197992,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,16.0,0.0014466546112115732,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,,MGYS00001248
187248,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,52.0,0.004701627486437613,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,MGYS00001248
180446,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,18.0,0.0016274864376130199,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,,MGYS00001248
199575,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,8.0,0.0007233273056057866,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,,MGYS00001248
526690,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__coprophilus,327.0,0.029566003616636527,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,coprophilus,MGYS00001248
198511,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,34.0,0.003074141048824593,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,MGYS00001248
355510,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,87.0,0.00786618444846293,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,,MGYS00001248
594227,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,13.0,0.0011754068716094033,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,MGYS00001248
4313722,k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__,55.0,0.004972875226039783,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,,MGYS00001248
1083016,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Kocuria; s__palustris,4.0,0.0003616636528028933,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria,palustris,MGYS00001248
572237,k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__,279.0,0.025226039783001808,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,,MGYS00001248
189478,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__,2.0,0.00018083182640144665,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,,MGYS00001248
366716,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,7.0,0.0006329113924050633,Bacteria,Firmicutes,Clostridia,Clostridiales,,,,MGYS00001248
192773,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,2.0,0.00018083182640144665,Bacteria,Firmicutes,Clostridia,Clostridiales,,,,MGYS00001248
368950,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,7.0,0.0006329113924050633,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,,MGYS00001248
531582,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,114.0,0.01030741410488246,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,,MGYS00001248
196125,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii,68.0,0.006148282097649186,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii,MGYS00001248
177310,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,11.0,0.0009945750452079567,Bacteria,Firmicutes,Clostridia,Clostridiales,,,,MGYS00001248
292735,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,37.0,0.003345388788426763,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,,MGYS00001248
198423,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus,72.0,0.0065099457504520794,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,[Ruminococcus],gnavus,MGYS00001248
567669,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Kocuria; s__palustris,8.0,0.0007233273056057866,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria,palustris,MGYS00001248
198830,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,32.0,0.0028933092224231465,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,MGYS00001248
302352,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,9.0,0.0008137432188065099,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,MGYS00001248
304641,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__,7.0,0.0006329113924050633,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,,,MGYS00001248
926362,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__,13.0,0.0011754068716094033,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,MGYS00001248
339221,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri,2.0,0.00018083182640144665,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,copri,MGYS00001248
295085,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,5.0,0.0004520795660036166,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,,MGYS00001248
192912,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,16.0,0.0014466546112115732,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,,MGYS00001248
193148,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,18.0,0.0016274864376130199,Bacteria,Firmicutes,Clostridia,Clostridiales,,,,MGYS00001248
193679,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,4.0,0.0003616636528028933,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,,MGYS00001248
328544,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,3.0,0.00027124773960217,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,,MGYS00001248
848615,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,75.0,0.006781193490054249,Bacteria,Firmicutes,Clostridia,Clostridiales,,,,MGYS00001248
521996,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__,41.0,0.0037070524412296563,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,MGYS00001248
362389,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,93.0,0.00840867992766727,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,,MGYS00001248
186352,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,2.0,0.00018083182640144665,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,MGYS00001248
192326,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__producta,6.0,0.00054249547920434,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,producta,MGYS00001248
851704,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Parvimonas; s__,41.0,0.0037070524412296563,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Parvimonas,,MGYS00001248
644946,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__kestanbolensis,4.0,0.0003616636528028933,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,kestanbolensis,MGYS00001248
523934,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,26.0,0.0023508137432188066,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,MGYS00001248
514363,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__,23.0,0.0020795660036166366,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,,MGYS00001248
529233,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__,22.0,0.0019891500904159133,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,MGYS00001248
327050,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,197.0,0.017811934900542496,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,MGYS00001248
360392,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,4.0,0.0003616636528028933,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,,MGYS00001248
197696,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,2.0,0.00018083182640144665,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,,MGYS00001248
191633,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,2.0,0.00018083182640144665,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,,MGYS00001248
328035,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri,5.0,0.0004520795660036166,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,copri,MGYS00001248
3229180,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria; g__Raphanus; s__sativus,104.0,0.009403254972875226,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,Raphanus,sativus,MGYS00001248
329520,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,66.0,0.0059674502712477396,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,MGYS00001248
