supplementary_data_3._taxa_coefficients_of_the_trained_lasso-regularized_logistic_regression_model.,unnamed:_1,unnamed:_2
#,Taxon,Coefficient
,,
1,k__Bacteriap__Firmicutesc__Bacillio__Lactobacillalesf__Lactobacillaceaeg__Lactobacilluss__Lactobacillus_ruminis,0.538146063447128
2,k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Peptostreptococcaceaeg__Romboutsias__Romboutsia_ilealis,0.383496647588329
3,k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Lachnospiraceaeg__Roseburias__Roseburia_sp_CAG_182,0.329616391831031
4,k__Bacteriap__Actinobacteriac__Actinobacteriao__Bifidobacterialesf__Bifidobacteriaceaeg__Bifidobacteriums__Bifidobacterium_catenulatum,0.288013728614424
5,k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Ruminococcaceaeg__Gemmigers__Gemmiger_formicilis,0.276186165104825
6,k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Clostridiaceaeg__Clostridiums__Clostridium_sp_CAG_167,0.242872770405178
7,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__C2viruss__Lactococcus_virus_bIL67,0.218919195225686
8,k__Bacteriap__Bacteroidetesc__Bacteroidiao__Bacteroidalesf__Prevotellaceaeg__Prevotellas__Prevotella_sp_AM42_24,0.207138683031047
9,k__Bacteriap__Actinobacteriac__Actinobacteriao__Bifidobacterialesf__Bifidobacteriaceaeg__Bifidobacteriums__Bifidobacterium_adolescentis,0.184438966271142
10,k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Lachnospiraceaeg__Doreas__Dorea_formicigenerans,0.173814213934751
11,k__Bacteriap__Firmicutesc__Negativicuteso__Veillonellalesf__Veillonellaceaeg__Dialisters__Dialister_sp_CAG_357,0.164125301818461
12,k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Eubacteriaceaeg__Eubacteriums__Eubacterium_eligens,0.15173013105151
13,k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Lachnospiraceaeg__Blautias__Ruminococcus_torques,0.146586850406747
14,k__Bacteriap__Actinobacteriac__Actinobacteriao__Bifidobacterialesf__Bifidobacteriaceaeg__Bifidobacteriums__Bifidobacterium_angulatum,0.140267918023466
15,k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Ruminococcaceaeg__Ruminococcuss__Ruminococcus_bicirculans,0.13857945882592
16,k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Peptostreptococcaceaeg__Intestinibacter,0.135055415611279
17,k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Lachnospiraceaeg__Coprococcuss__Coprococcus_eutactus,0.13470884337411
18,k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Oscillospiraceaeg__Oscillibacters__Oscillibacter_sp_57_20,0.131865066083084
19,k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Viruses_unclassified,0.12948640165639
20,k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Lachnospiraceaeg__Butyrivibrio,0.129268346428811
21,k__Bacteriap__Bacteroidetesc__Bacteroidiao__Bacteroidalesf__Odoribacteraceaeg__Butyricimonass__Butyricimonas_synergistica,0.126265171083922
22,k__Bacteriap__Bacteroidetesc__Bacteroidiao__Bacteroidalesf__Rikenellaceaeg__Alistipess__Alistipes_inops,0.121992354045661
23,k__Bacteriap__Proteobacteriac__Gammaproteobacteriao__Pasteurellalesf__Pasteurellaceaeg__Haemophiluss__Haemophilus_sp_HMSC71H05,0.118479987936056
24,k__Bacteriap__Bacteroidetesc__Bacteroidiao__Bacteroidalesf__Rikenellaceaeg__Alistipess__Alistipes_shahii,0.11343334383128
25,k__Bacteriap__Actinobacteriac__Actinobacteriao__Bifidobacterialesf__Bifidobacteriaceaeg__Bifidobacteriums__Bifidobacterium_animalis,0.110594186975699
26,k__Bacteriap__Actinobacteriac__Coriobacteriiao__Eggerthellales,0.109859853834401
27,k__Bacteriap__Bacteroidetesc__Bacteroidiao__Bacteroidalesf__Odoribacteraceaeg__Odoribacters__Odoribacter_splanchnicus,0.108805815517563
28,k__Bacteriap__Actinobacteriac__Coriobacteriiao__Eggerthellalesf__Eggerthellaceaeg__Asaccharobacter,0.0947617613259333
29,k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Lachnospiraceaeg__Roseburias__Roseburia_sp_CAG_309,0.0799682343072961
30,k__Bacteriap__Bacteroidetesc__Bacteroidiao__Bacteroidalesf__Barnesiellaceaeg__Coprobacters__Coprobacter_secundus,0.0796123889996598
31,k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Lachnospiraceaeg__Roseburias__Roseburia_hominis,0.060856799553126
32,k__Bacteriap__Actinobacteriac__Coriobacteriiao__Eggerthellalesf__Eggerthellaceae,0.0585809156143153
33,k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Eubacteriaceaeg__Eubacteriums__Eubacterium_hallii,0.0569213394999993
