supplementary_data_4._average_relative_abundance_of_taxa_with_either_positive_(n_=_49)_or_negative_(n_=_46)_coefficients_in_the_trained_lasso-regularized_logistic_regression_model.,unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5
Taxon,Sign of coefficient (Positive or Negative),Coefficient,Average relative abundance in healthy samples,Average relative abundance in non-healthy samples,More abundant ina
,,,,,
k__Bacteriap__Firmicutesc__Bacillio__Lactobacillalesf__Lactobacillaceaeg__Lactobacilluss__Lactobacillus_ruminis,Positive,0.538146063,0.0013779761916351177,0.0003319584361617765,Healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Peptostreptococcaceaeg__Romboutsias__Romboutsia_ilealis,Positive,0.383496648,3.2227234901748696e-05,1.9589807295797e-05,Healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Lachnospiraceaeg__Roseburias__Roseburia_sp_CAG_182,Positive,0.329616392,0.000654658774833243,8.041524583663757e-05,Healthy
k__Bacteriap__Actinobacteriac__Actinobacteriao__Bifidobacterialesf__Bifidobacteriaceaeg__Bifidobacteriums__Bifidobacterium_catenulatum,Positive,0.288013729,0.0011989947703263024,0.00019397195440126882,Healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Ruminococcaceaeg__Gemmigers__Gemmiger_formicilis,Positive,0.276186165,0.0018382540371371938,0.0011807222561459182,Healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Clostridiaceaeg__Clostridiums__Clostridium_sp_CAG_167,Positive,0.24287277,0.0007027606652244455,0.00017852645400475808,Healthy
k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Caudoviralesf__Siphoviridaeg__C2viruss__Lactococcus_virus_bIL67,Positive,0.218919195,0.0005166142038939967,0.00026887554520222046,Healthy
k__Bacteriap__Bacteroidetesc__Bacteroidiao__Bacteroidalesf__Prevotellaceaeg__Prevotellas__Prevotella_sp_AM42_24,Positive,0.207138683,0.002521325573463134,0.0008709102890563048,Healthy
k__Bacteriap__Actinobacteriac__Actinobacteriao__Bifidobacterialesf__Bifidobacteriaceaeg__Bifidobacteriums__Bifidobacterium_adolescentis,Positive,0.184438966,0.019378385815756263,0.009702210735923877,Healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Lachnospiraceaeg__Doreas__Dorea_formicigenerans,Positive,0.173814214,0.0035446433398233154,0.0030263221685170524,Healthy
k__Bacteriap__Firmicutesc__Negativicuteso__Veillonellalesf__Veillonellaceaeg__Dialisters__Dialister_sp_CAG_357,Positive,0.164125302,0.00442102840508383,0.0033250423862014283,Healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Eubacteriaceaeg__Eubacteriums__Eubacterium_eligens,Positive,0.151730131,0.014827686322877256,0.014160684924266458,Healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Lachnospiraceaeg__Blautias__Ruminococcus_torques,Positive,0.14658685,0.008474582009013866,0.008272118502775575,Healthy
k__Bacteriap__Actinobacteriac__Actinobacteriao__Bifidobacterialesf__Bifidobacteriaceaeg__Bifidobacteriums__Bifidobacterium_angulatum,Positive,0.140267918,0.0010693551986659452,3.609464829500397e-05,Healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Ruminococcaceaeg__Ruminococcuss__Ruminococcus_bicirculans,Positive,0.138579459,0.00947907820551649,0.005860811138778748,Healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Peptostreptococcaceaeg__Intestinibacter,Positive,0.135055416,0.0007866027270596715,0.0006321317498017439,Healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Lachnospiraceaeg__Coprococcuss__Coprococcus_eutactus,Positive,0.134708843,0.008161636016224992,0.003375526100713719,Healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Oscillospiraceaeg__Oscillibacters__Oscillibacter_sp_57_20,Positive,0.131865066,0.005933255154497937,0.0027379692188739136,Healthy
k__Virusesp__Viruses_unclassifiedc__Viruses_unclassifiedo__Viruses_unclassified,Positive,0.129486402,0.0006391816042906073,0.0005343602513877875,Healthy
k__Bacteriap__Firmicutesc__Clostridiao__Clostridialesf__Lachnospiraceaeg__Butyrivibrio,Positive,0.129268346,0.009978214259419497,0.0022948689655035684,Healthy
