feature,importance,std
genus_Peptoniphilaceae_mean,0.006734944745389307,0.038740760855074545
genus_Peptoniphilaceae_sum,0.00642837524700385,0.038440772574636205
genus_Peptoniphilaceae_ratio,0.006209567225617462,0.03732836360335767
species_Bilophila_sum,0.0043165019376041535,0.03156155733059826
genus_Peptoniphilaceae_std,0.003814515071918614,0.027905049707640146
species_Fournierella_ratio,0.0036599584581918226,0.02729370611388141
abundance_zscore_40,0.003594380772456594,0.025980704460041824
species_Bilophila_ratio,0.003390430127367114,0.026812246708229622
species_Fournierella_mean,0.0033779526664226163,0.02695527241425234
species_Fournierella_sum,0.0033457605677815134,0.026070760716288693
species_Fournierella_median,0.0032942932649838758,0.02570279325989377
abundance_rel_median_40,0.003217381571049108,0.024236567712688162
genus_Desulfovibrionaceae_median,0.0031507722875196683,0.02429009399131543
abundance_150,0.003140396268025653,0.025399450576658718
abundance_40,0.003124051982150846,0.025521189778096063
species_Anaerococcus_sum,0.003031994959022926,0.023180408044168724
species_Anaerococcus_mean,0.0029098343718648367,0.02257207063219897
family_Desulfovibrionales_median,0.002897013798254257,0.025346357180472737
abundance_99,0.002790719223472244,0.021478782390920628
order_Tissierellia_std,0.0027766332725998226,0.02351884858374952
species_Bilophila_median,0.0027659987296012683,0.025071000687183168
species_Unknown_std,0.0027387550390227783,0.021472377298921316
species_Anaerococcus_median,0.0027114795793525947,0.022511572430674004
abundance_84,0.0026845906629421688,0.022824353224633342
abundance_zscore_84,0.0026201034959357633,0.023245825527687763
abundance_rel_median_150,0.0025379070811843603,0.022151097338536044
genus_Desulfovibrionaceae_sum,0.0025181573127316904,0.02277530189970284
species_Bilophila_mean,0.0024571110703595586,0.02234582281938364
abundance_133,0.0024545888287442114,0.020595502155019627
species_Dorea_sum,0.002448887372685983,0.022033203102537126
simpson_ratio_species,0.00239750900897452,0.02137568034899029
genus_Desulfovibrionaceae_ratio,0.002385938818258203,0.021212352182093653
genus_Desulfovibrionaceae_mean,0.0023628933434220187,0.02202788356471974
family_Desulfovibrionales_mean,0.0023369033240158567,0.02347113563283815
species_Anaerococcus_ratio,0.002336387141877619,0.019568733070733733
genus_Peptoniphilaceae_median,0.0023338627214330833,0.021291288937919962
family_Desulfovibrionales_ratio,0.0023316609205235265,0.02204698852653065
abundance_zscore_99,0.00232295103884977,0.02022674156918571
class_Proteobacteria_std,0.0023104166896521544,0.020056122482121592
