feature,importance
ratio_sk__Eukaryota;k__Metazoa;p__Arthropoda;c__Maxillopoda;o__Calanoida;f__Centropagidae;g__Sinocalanus_sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__;s__alpha_proteobacterium_HIMB114,0.007018390241610563
ratio_sk__Eukaryota;k__;p__;c__;o__Rotaliida_sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__;s__alpha_proteobacterium_HIMB114,0.00445777702147214
ratio_sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__;s__alpha_proteobacterium_HIMB114_sk__Eukaryota;k__;p__;c__Spirotrichea;o__Tintinnida;f__Tintinnidae;g__Salpingella;s__Salpingella_sp.,0.004230028149650511
ratio_sk__Eukaryota;k__Metazoa;p__Arthropoda;c__Maxillopoda;o__Calanoida;f__Centropagidae;g__Sinocalanus;s__Sinocalanus_sinensis_sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__;s__alpha_proteobacterium_HIMB114,0.004092159437327885
ratio_sk__Bacteria;k__;p__Verrucomicrobia;c__Opitutae;o__Puniceicoccales;f__Puniceicoccaceae;g__Coraliomargarita;s__Coraliomargarita_akajimensis_sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__;s__alpha_proteobacterium_HIMB114,0.003901660741731479
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Crocinitomicaceae;g__Crocinitomix,0.0033173560232066398
sk__Eukaryota;k__;p__;c__;o__Isochrysidales,0.003255755299640947
ratio_sk__Eukaryota;k__;p__;c__;o__Rotaliida_sk__Bacteria;k__;p__Verrucomicrobia;c__Opitutae;o__Puniceicoccales;f__Puniceicoccaceae;g__Coraliomargarita;s__Coraliomargarita_akajimensis,0.003107647966080176
ratio_sk__Bacteria;k__;p__Verrucomicrobia;c__Opitutae;o__Puniceicoccales;f__Puniceicoccaceae;g__Coraliomargarita;s__Coraliomargarita_akajimensis_sk__Eukaryota;k__;p__;c__Spirotrichea;o__Tintinnida;f__Tintinnidae;g__Salpingella;s__Salpingella_sp.,0.0030013549681772752
sk__Bacteria;k__;p__Lentisphaerae;c__Lentisphaeria;o__Victivallales,0.0029904307365616594
ratio_sk__Eukaryota;k__;p__;c__Pelagophyceae;o__Pelagomonadales;f__;g__Pelagomonas_sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__gamma_proteobacterium_HIMB30,0.0029111371692536986
ratio_sk__Eukaryota;k__;p__;c__;o__Rotaliida_sk__Eukaryota;k__;p__;c__Cryptophyta;o__Pyrenomonadales;f__Geminigeraceae;g__Geminigera;s__Geminigera_cryophila,0.002908330767814264
sk__Eukaryota;k__Metazoa;p__Platyhelminthes,0.002739177115301814
sk__Archaea;k__;p__Thaumarchaeota,0.002726197108317642
sk__Bacteria;k__;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae,0.0026941020702867754
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Parvularculales,0.0026749955641266325
